commit_id,author_id,date,loc,addition,deletion,file_num,bug_num,author_activity_in_last_four_weeks,total_commit_num,buggy_commit_num,total_bug_num,first_commit_week,active_week_num,followers,public_repos,created_at,total_commits,total_files,days_after_creation,size,stargazers_count,watchers_count,forks_count,network_count
437986510709d7abc64b59c72779343ac5e77599,romani,2015-06-08T02:25:45Z,15506,15500,6,157,9,"{'addition': 711, 'deletion': 262, 'commits': 35}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
fcb47f13dc5876474d9cbf9c3f5e8949b0d67887,isopov,2014-06-28T11:01:39Z,811,427,384,69,1,"{'addition': 427, 'deletion': 384, 'commits': 1}",23,1,1,2013-09-01 08:00:00,19,37,135,2010-11-01T14:41:21Z,10119,3736,2773,85058,5937,5937,7802,7802
914bf53cd079008971634897b457480a7ca1f669,romani,2015-04-03T06:35:10Z,25,11,14,4,1,"{'addition': 634, 'deletion': 541, 'commits': 29}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
f1e80e4ecae727087ca135dfd02f72e2d6213efb,mkordas,2015-08-07T18:09:57Z,222,112,110,17,1,"{'addition': 1167, 'deletion': 835, 'commits': 44}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
30c3a362d45721e6925fe89ba71f0fe69d0fc471,romani,2015-10-07T00:46:02Z,262,131,131,26,1,"{'addition': 325, 'deletion': 43, 'commits': 31}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
dae75fff6161f90941aca9ba0dd902d9b11abcd4,romani,2015-10-15T01:23:13Z,2,1,1,1,1,"{'addition': 1002, 'deletion': 679, 'commits': 60}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
e689662e9d47347cb2f326e1c16901ee1c4c6367,romani,2015-07-26T05:28:45Z,217,150,67,2,1,"{'addition': 2715, 'deletion': 1213, 'commits': 107}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
0f4494ebeb6c6008fbb29d3d66569c4a7b609b7f,rdiachenko,2015-08-08T21:12:05Z,1519,760,759,9,4,"{'addition': 1724, 'deletion': 1147, 'commits': 31}",127,9,12,2015-06-28 08:00:00,20,16,7,2011-06-25T22:10:51Z,10119,3736,2773,85058,5937,5937,7802,7802
de2c3f153e77e6b3aadc039a7dfb36ecedc9f872,mkordas,2015-08-31T19:15:20Z,2,1,1,1,1,"{'addition': 3531, 'deletion': 4316, 'commits': 227}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
e464c231eccec72f964131d9aeb5e49982c4b3bb,os97673,2003-06-14T17:47:41Z,319,235,84,15,1,"{'addition': 2526, 'deletion': 604, 'commits': 25}",297,12,13,2003-05-04 08:00:00,92,28,4,2010-10-23T05:35:09Z,10119,3736,2773,85058,5937,5937,7802,7802
