created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,14944,7370,7574,161,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,188,148,40,6,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,98,49,49,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,14,8,6,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,43,16,27,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,3,1,2,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,167,83,84,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,1280,659,621,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,10,7,3,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,350,245,105,1,3
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,25,21,4,3,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,50,33,2012-09-18T00:05:47Z,185,davebaol,1014,543,471,9,1
