created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num,commit_id
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,2,1,1,1,2,2f6e41f5a832e0831deea9a1d83537f5c347836e
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,298,189,109,8,2,c8752622cd15d094652000ec1acd394c1307e05d
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,205,24,2012-02-06T19:56:57Z,4061,apc999,344,177,167,54,1,932528967140acfed344f69941602db48ed6a57d
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,36,26,10,4,1,3bc69fbacad0d751102d794aea3ac78172d06288
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,133,76,57,2,1,86a33d23b498ef1bf1ec4b56097252247b680321
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,19,12,7,1,1,ad7911848faf5bd5e04e83aba561cb0f1f3c55fd
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,119,67,52,1,1,7749e73dd1a6b1789f2a2441661b12fc2a79c560
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,185,185,0,2,1,07969aaa3f2b35b6aa4736efb5be78b21ba41ac1
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,80,55,25,3,1,66af5328e873b4e5e53a5575f0f0f4545324c0fd
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,25,11,14,5,1,d90678a680f7adf49ebcbe9fe6ed117302908fe3
