commit_id,author_id,date,loc,addition,deletion,file_num,bug_num,author_activity_in_last_four_weeks,total_commit_num,buggy_commit_num,total_bug_num,first_commit_week,active_week_num,followers,public_repos,created_at
b7e092e821021b7c0dbd91eacfe369181bfa28b8,philwebb,2019-07-13T13:01:04Z,4,2,2,1,2,"{'addition': 5683, 'deletion': 5410, 'commits': 42}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
fb0fccf3c7e1b1290ef64a1d2c388d788a5a965e,snicoll,2019-08-01T09:58:38Z,259,122,137,4,1,"{'addition': 1048, 'deletion': 622, 'commits': 50}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
e184298c50a0089336516933e5a6ce11a60df383,mbhave,2019-07-29T21:13:35Z,89,54,35,2,1,"{'addition': 249, 'deletion': 161, 'commits': 7}",814,2,2,2016-10-02 08:00:00,188,615,37,2012-05-21T21:52:15Z
68a3fbd7a0453b815966db4353405a0b5e2303d3,philwebb,2019-05-30T22:58:43Z,441,264,177,15,2,"{'addition': 350, 'deletion': 114, 'commits': 8}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
c6c139d980a50a1b39e564d44a1df6d46f8ca11b,wilkinsona,2019-06-07T09:46:31Z,63328,23855,39473,300,2,"{'addition': 15817, 'deletion': 16335, 'commits': 50}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
7857dd2d7230ab48c53e8648c23647e3b793b895,bclozel,2019-06-21T09:21:13Z,70,34,36,5,1,"{'addition': 1450, 'deletion': 436, 'commits': 9}",406,3,3,2014-05-18 08:00:00,144,1018,108,2009-07-09T12:46:57Z
d5370e6852cb61e333369127a517474de2a7ec58,dreis2211,2017-12-11T16:08:38Z,5,4,1,1,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",466,1,1,2016-03-27 08:00:00,153,43,44,2014-01-02T15:55:54Z
c2d1cb2c701f3c0dd06a6db298cd78e06d039c8f,ayudovin,2019-06-17T16:38:59Z,17,15,2,2,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",31,1,1,2018-08-19 08:00:00,25,6,8,2017-12-26T14:36:28Z
cb7ae2e60aa2b9aefcdb166ac36d85a11d675990,wilkinsona,2017-01-17T17:01:28Z,189,188,1,6,2,"{'addition': 331, 'deletion': 213, 'commits': 46}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
44dde9fc1247e3640dbefe952f3dd6746e579eac,philwebb,2014-12-06T07:04:22Z,921,921,0,20,2,"{'addition': 3395, 'deletion': 3599, 'commits': 51}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
c4122b8f8d77585c04be7c0edf7090340ffc8873,wilkinsona,2015-10-28T12:14:31Z,254,243,11,7,2,"{'addition': 1429, 'deletion': 1724, 'commits': 83}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
